table_id,table_name,reg_id,reg_name,ind_id,ind_name,reg_date,val
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2001-10-01T00:00:00,1252.9000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2002-01-01T00:00:00,1287.7000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2002-04-01T00:00:00,1288.6000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2002-07-01T00:00:00,1469.6000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2002-10-01T00:00:00,1558.9000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2003-01-01T00:00:00,1991.7000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2003-04-01T00:00:00,2171.7000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2003-07-01T00:00:00,2398.4000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2003-10-01T00:00:00,2484.2000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2004-01-01T00:00:00,2577.8000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2004-04-01T00:00:00,2653.1000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2004-07-01T00:00:00,2898.4000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2004-10-01T00:00:00,2994.4000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2005-01-01T00:00:00,3091.9000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2005-04-01T00:00:00,3085.6000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2005-07-01T00:00:00,3688.9000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2005-10-01T00:00:00,3724.2000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2006-01-01T00:00:00,3797.2000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2001-01-01T00:00:00,1055.3000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2001-04-01T00:00:00,1258.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2001-07-01T00:00:00,1449.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2001-10-01T00:00:00,1519.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2002-01-01T00:00:00,1604.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2002-04-01T00:00:00,1784.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2002-07-01T00:00:00,2080.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2002-10-01T00:00:00,2144.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2003-01-01T00:00:00,2618.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2003-04-01T00:00:00,3235.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2003-07-01T00:00:00,3524.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2003-10-01T00:00:00,3658.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2004-01-01T00:00:00,3825.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2004-04-01T00:00:00,4227.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2004-07-01T00:00:00,4119.8000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2004-10-01T00:00:00,4297.2000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2005-01-01T00:00:00,4505.3000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2005-04-01T00:00:00,4556.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2005-07-01T00:00:00,5023.0000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2005-10-01T00:00:00,5290.5000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2006-01-01T00:00:00,5624.6000
Table10,Социальные индикаторы,6,Волгоградская область,73,Среднедушевой денежный доход населения (руб.),2006-04-01T00:00:00,5861.0000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2001-01-01T00:00:00,1746.5000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2001-04-01T00:00:00,1851.3000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2001-07-01T00:00:00,1981.5000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2001-10-01T00:00:00,2161.0000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2002-01-01T00:00:00,2293.4000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2002-04-01T00:00:00,2580.0000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2002-07-01T00:00:00,2548.3000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2002-10-01T00:00:00,2636.0000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2003-01-01T00:00:00,3365.3000
Table10,Социальные индикаторы,20,Вологодская область,73,Среднедушевой денежный доход населения (руб.),2003-04-01T00:00:00,3617.2000
